experiment,dataset,seeds,auc,cold_auc,status
SAKT-ID,xes3g5m,3,0.7937±0.0008,0.6992±0.0074,Done
Text-Embed-SAKT (SLIM-KT sem),xes3g5m,3,0.8033±0.0012,0.7402±0.0036,Done
AKT + semantic encoder,xes3g5m,3,0.8012±0.0006,0.7437±0.0015,Done
SLIM-KT + attr,xes3g5m,3,0.8003±0.0002,0.7347±0.0014,Done
SLIM-KT + opt,xes3g5m,3,0.8011±0.0004,0.7373±0.0042,Done
SLIM-KT + attr + opt,xes3g5m,3,0.7986±0.0003,0.7309±0.0031,Done
DKT,xes3g5m,3,0.7610±0.0034,0.5384±0.0130,Done
DKVMN,xes3g5m,3,0.7835±0.0011,0.6522±0.0034,Done
AKT,xes3g5m,3,0.7872±0.0011,0.6901±0.0044,Done
SAKT-ID,dbe_kt22,3,0.7605±0.0123,0.5508±0.0483,Done
Text-Embed-SAKT (SLIM-KT sem),dbe_kt22,3,0.7700±0.0055,0.6748±0.0253,Done
AKT + semantic encoder,dbe_kt22,3,0.7600±0.0037,0.6306±0.0126,Done
SLIM-KT + attr,dbe_kt22,3,0.7628±0.0054,0.6615±0.0211,Done
SLIM-KT + opt,dbe_kt22,3,0.7663±0.0039,0.6648±0.0182,Done
SLIM-KT + attr + opt,dbe_kt22,3,0.7641±0.0051,0.6526±0.0233,Done
DKT,dbe_kt22,3,0.7405±0.0053,0.5179±0.0231,Done
DKVMN,dbe_kt22,3,0.7586±0.0104,0.5537±0.0334,Done
AKT,dbe_kt22,3,0.7669±0.0070,0.6170±0.0106,Done
SAKT-ID,eedi,3,0.7931±0.0004,0.7584±0.0023,Done
Text-Embed-SAKT (SLIM-KT sem),eedi,3,0.7630±0.0001,0.7555±0.0014,Done
AKT + semantic encoder,eedi,3,0.7635±0.0005,0.7563±0.0011,Done
DKT,eedi,3,0.7589±0.0001,0.5660±0.0003,Done
DKVMN,eedi,3,0.7883±0.0001,0.7402±0.0003,Done
AKT,eedi,3,0.7881±0.0004,0.7296±0.0030,Done
"Bootstrap sem vs ID (cold, 3 seeds)",xes3g5m,3,$\Delta=0.0410$,$p\le0.000$,Done
"Bootstrap sem vs ID (cold, 3 seeds)",dbe_kt22,3,$\Delta=0.1240$,$p\le0.000$,Done
"Bootstrap sem vs ID (cold, 3 seeds)",eedi,3,$\Delta=-0.0028$,$p\le1.000$,Done
LOKT (LLM-in-the-loop),xes3g5m,TBD,—,—,TBD (Same cold-start split)
Attribute-aware LLM-KT (external baseline),xes3g5m,TBD,—,—,TBD (Same cold-start split)
Fold~1 replication,xes3g5m,TBD,—,—,TBD (5-fold CV extension)
Extended seeds ($n=5$),dbe_kt22,TBD,—,—,TBD (Variance reduction)
